Topic,English,Spanish,IPA
01 Saludos y presentaciones,hello,hola,/həˈloʊ/
01 Saludos y presentaciones,hi,hola,/haɪ/
01 Saludos y presentaciones,goodbye,adiós,/ˌɡʊdˈbaɪ/
01 Saludos y presentaciones,please,por favor,/pliːz/
01 Saludos y presentaciones,thanks,gracias,/θæŋks/
01 Saludos y presentaciones,sorry,lo siento,/ˈsɑːri/
01 Saludos y presentaciones,yes,sí,/jes/
01 Saludos y presentaciones,no,no,/noʊ/
01 Saludos y presentaciones,name,nombre,/neɪm/
01 Saludos y presentaciones,first name,nombre,/ˈfɜːrst neɪm/
01 Saludos y presentaciones,last name,apellido,/ˈlæst neɪm/
01 Saludos y presentaciones,address,dirección,/əˈdres/
01 Saludos y presentaciones,age,edad,/eɪdʒ/
01 Saludos y presentaciones,country,país,/ˈkʌntri/
01 Saludos y presentaciones,city,ciudad,/ˈsɪti/
01 Saludos y presentaciones,language,idioma,/ˈlæŋɡwɪdʒ/
01 Saludos y presentaciones,English,inglés,/ˈɪŋɡlɪʃ/
01 Saludos y presentaciones,Spanish,español,/ˈspænɪʃ/
01 Saludos y presentaciones,student,estudiante,/ˈstuːdənt/
01 Saludos y presentaciones,teacher,profesor,/ˈtiːtʃər/
01 Saludos y presentaciones,friend,amigo,/frend/
01 Saludos y presentaciones,man,hombre,/mæn/
01 Saludos y presentaciones,woman,mujer,/ˈwʊmən/
01 Saludos y presentaciones,boy,niño,/bɔɪ/
01 Saludos y presentaciones,girl,niña,/ɡɜːrl/
01 Saludos y presentaciones,Mr.,señor,/ˈmɪstər/
01 Saludos y presentaciones,Mrs.,señora,/ˈmɪsɪz/
01 Saludos y presentaciones,welcome,bienvenido,/ˈwelkəm/
01 Saludos y presentaciones,nice,agradable,/naɪs/
01 Saludos y presentaciones,meet,conocer,/miːt/
01 Saludos y presentaciones,live,vivir,/lɪv/
01 Saludos y presentaciones,from,de,/frəm/
02 Familia,family,familia,/ˈfæməli/
02 Familia,mother,madre,/ˈmʌðər/
02 Familia,father,padre,/ˈfɑːðər/
